absolutely,2
amazing,2
amenities,2
appreciate,1
atmosphere,1
beautiful,2
beauty,1
best,2
better,2
bless,2
brilliant,3
carefully ,1
charmed,3
comfort,2
communication,2
confortable,1
congrates,1
congrats,2
congratulations,2
cozy,1
creative,2
decorated,2
dedicated,2
delicious,2
design,1
dream,2
dreamful,2
elegant,1
energy,1
enjoy,1
excellent,3
expectations,1
experience,1
extreme,3
fantastic,2
fascinating,3
featured,2
fireplace,1
flair,1
flavours,2
fresh,1
friendly,1
future,1
generosity,2
genuine,3
good,2
gorgeous,2
grateful,2
gratitude,3
great,3
greeting,2
high quality,3
hope,1
hospitality,2
impressed,2
incredible,3
innovation,2
kindness,1
lacks,-1
loved,2
magical,2
memorable,1
modern,1
moment,1
nature,1
nice,3
original,2
passion,2
peaceful,2
perfect,3
pleasant,2
professional,1
properly,1
proved,1
quality,3
recommend,2
relax,2
remember,2
repeat,1
respect,2
return,1
ridiculous,2
romantic,1
served,1
service,1
simplicity,2
sincere,1
smile,2
sophisticated,2
special,1
splurge,1
style,1
success,2
tasty,2
thank,1
top,1
top notch,3
treatment,2
unexpected,3
unforgettable,3
unique,2
value,2
warm,1
welcome,2
wonderful,3
worthy,3
